nid,uid,status,title,body,teaser,mp3_filename,mp3_filemime,mp3_filesize,mp3_status,mp3_timestamp,mp3_list,artiste,compositeur,taxonomy['tags']['3'],taxonomy['tags']['4']
985,4,1,Le juge Simon 2,"<p>Maurice Simon et Paul Lefèvre, extrait de l'émission <em>Le Journal de 20h</em>, La Cinq, 1989</p>","<p>Maurice Simon et Paul Lefèvre, extrait de l'émission <em>Le Journal de 20h</em>, La Cinq, 1989</p>",jugesimon2.mp3,audio/mpeg,290510,1,1264586987,1,Juge Simon,NULL,interveiw,français
986,4,1,Mme Von Almen ?,"<p>Zouc, extrait du sketch <em>Le Téléphone</em>, 1977</p>","<p>Zouc, extrait du sketch <em>Le Téléphone</em>, 1977</p>",Mme_Von_Almen.mp3,audio/mpeg,519347,1,1264587780,1,Zouc,NULL,sketch,français
987,4,1,Le juge Simon 3,"<p>Maurice Simon et Paul Lefèvre, extrait de l'émission <em>Le Journal de 20h</em>, La Cinq, 1989</p>","<p>Maurice Simon et Paul Lefèvre, extrait de l'émission <em>Le Journal de 20h</em>, La Cinq, 1989</p>",jugesimon3.mp3,audio/mpeg,798749,1,1264588776,1,Juge Simon,NULL,interview,français
1170,4,1,"Une théière, une cafetière","<p>Scène de jeu, extrait de l'émission <em>Pictionnary</em>, une case en moins, 2010</p>","<p>Scène de jeu, extrait de l'émission <em>Pictionnary</em>, une case en moins, 2010</p>",une_theiere.mp3,audio/mpeg,1960296,1,1297081176,1,NULL,NULL,Télévision,français
990,4,1,Le suicide est le seul acte,"<p>Jacques Lacan, extrait du film <em>Télévision</em> de Benoît Jacquot, 1973</p>","<p>Jacques Lacan, extrait du film <em>Télévision</em> de Benoît Jacquot, 1973</p>",Le_suicide_est_le_seul_acte.mp3,audio/mpeg,2968340,1,1268041879,1,Jacques Lacan,NULL,interview,français
994,4,1,6 dégâts,"<p>Voix de synthèse, extrait d'une lecture de Katalin Molnar au Centre Pompidou (Paris), 2000</p>","<p>Voix de synthèse, extrait d'une lecture de Katalin Molnar au Centre Pompidou (Paris), 2000</p>",6_degats.mp3,audio/mpeg,482403,1,1271082535,1,Katalin Molnar,Joris Lacoste,performance,français
997,4,1,Ça m'arrive à moi,"<p>Michel Sardou, extrait de l'émission <em>T'empêche tout le monde de dormir</em>, M6, 2007</p>","<p>Michel Sardou, extrait de l'émission <em>T'empêche tout le monde de dormir</em>, M6, 2007</p>",Ca_marrive_a_moi.mp3,audio/mpeg,591514,1,1271082538,1,Michel Sardou,Constantin Alexandrakis,Télévision,français
998,4,1,Cantata BWV 78,"<p>Sourds-muets interprétant une cantate de Bach, extrait du disque <em>Deaf Bach</em> de Arthur Zmijewski, 2003</p>","<p>Sourds-muets interprétant une cantate de Bach, extrait du disque <em>Deaf Bach</em> de Arthur Zmijewski, 2003</p>",cantata_bwv_78.mp3,audio/mpeg,2918722,1,1355582425,1,Arthur Zmijewski,NULL,Musique,latin
999,4,1,Ce jour entre les jours,"<p>Gaston Bachelard, extrait d'un entretien avec Pierre Schaeffer, Radio Télévision Française, années 40</p>","<p>Gaston Bachelard, extrait d'un entretien avec Pierre Schaeffer, Radio Télévision Française, années 40</p>",Ce_jour_entre_les_jours.mp3,audio/mpeg,472021,1,1271082540,1,Gaston Bachelard,Joris Lacoste,interview,français
1000,4,1,"Moi, je suis Cooky","<p>Philippe et Cooky, extrait d'un sketch de ventriloquie, source inconnue</p>","<p>Philippe et Cooky, extrait d'un sketch de ventriloquie, source inconnue</p>",Coki.mp3,audio/mpeg,271723,1,1271082540,1,Philippe et Cooky,NULL,sketch,français
1001,4,1,De bonnes mœurs,"<p>Paul Léautaud, extrait d'un entretien avec Robert Mallet, Radio Télévision Française, 1951</p>","<p>Paul Léautaud, extrait d'un entretien avec Robert Mallet, Radio Télévision Française, 1951</p>",De_bonnes_moeurs.mp3,audio/mpeg,1627791,1,1271082542,1,Paul Léautaud,Joris Lacoste,interview,français
1002,4,1,Des silhouettes dans la pièce,"<p>Témoignage, extrait de l'émission <em>Le Troisième Quart de Siècle</em>, Radio Canada, 1975</p>","<p>Témoignage, extrait de l'émission <em>Le Troisième Quart de Siècle</em>, Radio Canada, 1975</p>",Des_silhouettes_dans_la_piece_0.mp3,audio/mpeg,330075,1,1271082543,1,Femme anglaise,NULL,témoigange,anglais et français
