1181,4,1,"No you didn't","<p>The Monty Python, extrait de l'émission <em>The Monty Python's flying Circus</em>, 1972</p>","<p>The Monty Python, extrait de l'émission <em>The Monty Python's flying Circus</em>, 1972</p>",no_you_didn_t.mp3,audio/mpeg,2200604,1,1297081033,1,"The Monty Python",NULL,sketch,anglais,54.96165,0:55,54,16,Cadences
1196,4,1,"Les prières dans les langues","<p>Pasteur Olivier Derain, extrait du disque <em>La prière et le parler en langue</em>, 2005</p>","<p>Pasteur Olivier Derain, extrait du disque <em>La prière et le parler en langue</em>, 2005</p>",25_les_prieres_dans_les_langues.mp3,audio/mpeg,4246382,1,1331743319,1,"pasteur Olivier derain",NULL,tutoriel,"français et inconnue",106.05715,1:46,54,17,Cadences
1182,4,1,"La bataille","<p>Colette Magny, extrait du disque <em>Transit</em>, 1975</p>","<p>Colette Magny, extrait du disque <em>Transit</em>, 1975</p>",la_bataille_0.mp3,audio/mpeg,1885046,1,1297153512,1,"colette magny",NULL,Musique,français,47.072675,0:47,54,18,Cadences
1969,4,1,"Petit pot de beurre","<p>Exercices de prononciation en français, enregistrement de Joris Lacoste, 2013</p>","<p>Exercices de prononciation en français, enregistrement de Joris Lacoste, 2013</p>",petit_pot_de_beurre.mp3,audio/mpeg,1242680,1,1381826277,1,NULL,NULL,,,51.774625,0:52,54,19,Cadences
1183,4,1,"Cachou Lajaunie","<p>Fabulous Trobadors, extrait du disque&nbsp; <em>Era pas de faire</em>, 1992</p>","<p>Fabulous Trobadors, extrait du disque&nbsp; <em>Era pas de faire</em>, 1992</p>",cachou_lajaunie.mp3,audio/mpeg,477569,1,1297063860,1,"Fabulous Trobadors",NULL,Musique,français,11.885725,0:12,54,20,Cadences
621,3,1,Hebs,"<p>Rim-K, extrait a capella de <em>Banlieue </em>de Booba, 2005</p>","<p>Rim-K, extrait a capella de <em>Banlieue </em>de Booba, 2005</p>",Hebs.mp3,,0,1,1259262597,1,"Rim K","Grégory Castéra",rap,français,14.393475,0:14,54,21,Cadences
830,1,1,"Inversnaid (10 ans)","<p>Récitation d'un poème de G. M. Hopkins par des écoliers, enregistrement de Jay Salter, 1998</p>","<p>Récitation d'un poème de G. M. Hopkins par des écoliers, enregistrement de Jay Salter, 1998</p>",Hopkins_10_ans.mp3,,0,1,1259314828,1,écoliers,"stacy doris",poésie,anglais,75.57225,1:16,54,22,Cadences
1958,4,1,"Die greulichen Katzen","<p>Klaus Kinski, extrait du poème <em>Der Handschuh</em> de Friedrich Schiller, Deutsche Grammophon, 1959</p>","<p>Klaus Kinski, extrait du poème <em>Der Handschuh</em> de Friedrich Schiller, Deutsche Grammophon, 1959</p>",die_greulichen_katzen.mp3,audio/mpeg,2646975,1,1381823933,1,"klaus kinski",NULL,poésie,allemand,110.28891666667,1:50,54,23,Cadences
251,3,1,"La journée nationale du bégaiement","<p>Extrait d'un sujet diffusé sur France Info, 2007</p>","<p>Extrait d'un sujet diffusé sur France Info, 2007</p>",La_journee_nationale_du_begaiement.mp3,,0,1,1259260608,1,Journaliste,NULL,Radio,français,26.070225,0:26,54,24,Cadences
261,3,1,"Mon père","<p>Charles Pennequin, extrait d'une lecture au Centre Pompidou, 2000</p>","<p>Charles Pennequin, extrait d'une lecture au Centre Pompidou, 2000</p>",Mon_pere.mp3,,0,1,1259260615,1,"Charles Pennequin",NULL,poésie,français,105.71755,1:46,54,25,Cadences
234,3,1,"Chant de chamane","<p>Chamane selknam, extrait de&nbsp; <em>Les voix du monde : une anthologie des expressions vocales</em>, 1996</p>","<p>Chamane selknam, extrait de&nbsp; <em>Les voix du monde : une anthologie des expressions vocales</em>, 1996</p>",Chant_de_chamane.mp3,,0,1,1259260600,1,"Chamane Selknam","Joris Lacoste",Rituel,inconnue,61.387775,1:01,54,26,Cadences
194,3,1,"Fabienne Tabard","<p>Jean-Pierre Léaud, extrait du film <em>Baisers volés </em>de François Truffaut, 1968</p>","<p>Jean-Pierre Léaud, extrait du film <em>Baisers volés </em>de François Truffaut, 1968</p>",15_fabienne_tabard.mp3,audio/mpeg,3466888,1,1331743310,1,"François Truffaut","Fanny de Challié",Film,français,86.5698,1:27,54,27,Cadences
