nid,type,language,uid,status,created,changed,comment,promote,moderate,sticky,tnid,translate,vid,revision_uid,title,body,teaser,log,revision_timestamp,format,name,picture,data,path,field_mp3['0']['fid'],field_mp3['0']['uid'],field_mp3['0']['filename'],field_mp3['0']['filepath'],field_mp3['0']['filemime'],field_mp3['0']['filesize'],field_mp3['0']['status'],field_mp3['0']['timestamp'],field_mp3['0']['list'],field_mp3['0']['data'],field_artiste['0']['value'],field_ordre['0']['value'],field_article['0']['nid'],field_compositeur['0']['value'],field_genre['0']['value'],field_langue['0']['value'],_workflow,taxonomy['2']['61'],taxonomy['2']['114'],taxonomy['2']['126'],taxonomy['tags']['3'],taxonomy['tags']['4'],menu['link_title'],menu['mlid'],menu['plid'],menu['menu_name'],menu['weight'],menu['module'],menu['expanded'],menu['hidden'],menu['has_children'],menu['customized'],menu['parent_depth_limit'],taxonomy['2']['113'],taxonomy['2']['55'],taxonomy['2']['57'],taxonomy['2']['124'],taxonomy['2']['54'],taxonomy['2']['79'],taxonomy['2']['125'],field_langue['1']['value'],taxonomy['2']['52'],taxonomy['2']['50'],taxonomy['2']['53'],taxonomy['2']['48'],taxonomy['2']['58'],taxonomy['2']['63'],field_mp3['0'],taxonomy['2']['51'],taxonomy['2']['62'],field_mp3['0']['data']['description'],field_genre['1']['value']
998,corpus,fr,4,1,1271082539,1389890736,0,0,0,0,0,0,998,0,Cantata BWV 78,"<p>Sourds-muets interprétant une cantate de Bach, extrait du disque <em>Deaf Bach</em> de Arthur Zmijewski, 2003</p>","<p>Sourds-muets interprétant une cantate de Bach, extrait du disque <em>Deaf Bach</em> de Arthur Zmijewski, 2003</p>",Importerad by corpus importation module by admin | 2010-04-12 16:28:58 +0200.,1389890736,1,admin,,"a:1:{s:13:""form_build_id"";s:37:""form-c45e747db3180913718cdac76d270224"";}",corpus/timbres/track-cantata-bwv-78,1495,4,cantata_bwv_78.mp3,sites/default/files/corpus/cantata_bwv_78.mp3,audio/mpeg,2918722,1,1355582425,1,NULL,Arthur Zmijewski,NULL,NULL,NULL,108,168,3,,,,Musique,latin,,0,0,primary-links,0,menu,0,0,0,0,8,,,57,,,,,,,,,,,,,,,,
999,corpus,fr,4,1,1271082539,1389890736,0,0,0,0,0,0,999,0,Ce jour entre les jours,"<p>Gaston Bachelard, extrait d'un entretien avec Pierre Schaeffer, Radio Télévision Française, années 40</p>","<p>Gaston Bachelard, extrait d'un entretien avec Pierre Schaeffer, Radio Télévision Française, années 40</p>",Importerad by corpus importation module by admin | 2010-04-12 16:28:59 +0200.,1389890736,1,admin,,"a:1:{s:13:""form_build_id"";s:37:""form-c45e747db3180913718cdac76d270224"";}",corpus/timbres/track-ce-jour-entre-les-jours,871,4,Ce_jour_entre_les_jours.mp3,sites/default/files/corpus/Ce_jour_entre_les_jours.mp3,audio/mpeg,472021,1,1271082540,1,NULL,Gaston Bachelard,NULL,NULL,Joris Lacoste,131,130,3,,,,interview,français,,0,0,primary-links,0,menu,0,0,0,0,8,,,57,,,,,,,,,,,,,,,,
1000,corpus,fr,4,1,1271082540,1389890736,0,0,0,0,0,0,1000,0,"Moi, je suis Cooky","<p>Philippe et Cooky, extrait d'un sketch de ventriloquie, source inconnue</p>","<p>Philippe et Cooky, extrait d'un sketch de ventriloquie, source inconnue</p>",Importerad by corpus importation module by admin | 2010-04-12 16:29:00 +0200.,1389890736,1,admin,,"a:1:{s:13:""form_build_id"";s:37:""form-c45e747db3180913718cdac76d270224"";}",corpus/timbres/track-moi-je-suis-cooky,872,4,Coki.mp3,sites/default/files/corpus/Coki.mp3,audio/mpeg,271723,1,1271082540,1,NULL,Philippe et Cooky,NULL,NULL,NULL,135,130,3,,,,sketch,français,,0,0,primary-links,0,menu,0,0,0,0,8,,,57,,,,,,,,,,,,,,,,
1001,corpus,fr,4,1,1271082541,1389890736,0,0,0,0,0,0,1001,0,De bonnes mœurs,"<p>Paul Léautaud, extrait d'un entretien avec Robert Mallet, Radio Télévision Française, 1951</p>","<p>Paul Léautaud, extrait d'un entretien avec Robert Mallet, Radio Télévision Française, 1951</p>",Importerad by corpus importation module by admin | 2010-04-12 16:29:01 +0200.,1389890736,1,admin,,"a:1:{s:13:""form_build_id"";s:37:""form-c45e747db3180913718cdac76d270224"";}",corpus/timbres/track-de-bonnes-moeurs,873,4,De_bonnes_moeurs.mp3,sites/default/files/corpus/De_bonnes_moeurs.mp3,audio/mpeg,1627791,1,1271082542,1,NULL,Paul Léautaud,NULL,NULL,Joris Lacoste,131,130,3,,,,interview,français,,0,0,primary-links,0,menu,0,0,0,0,8,,,57,,,,,,,,,,,,,,,,
1002,corpus,fr,4,1,1271082542,1389890736,0,0,0,0,0,0,1002,0,Des silhouettes dans la pièce,"<p>Témoignage, extrait de l'émission <em>Le Troisième Quart de Siècle</em>, Radio Canada, 1975</p>","<p>Témoignage, extrait de l'émission <em>Le Troisième Quart de Siècle</em>, Radio Canada, 1975</p>",Importerad by corpus importation module by admin | 2010-04-12 16:29:02 +0200.,1389890736,1,admin,,"a:1:{s:13:""form_build_id"";s:37:""form-c45e747db3180913718cdac76d270224"";}",corpus/timbres/track-des-silhouettes-dans-la-piece,874,4,Des_silhouettes_dans_la_piece_0.mp3,sites/default/files/corpus/Des_silhouettes_dans_la_piece_0.mp3,audio/mpeg,330075,1,1271082543,1,NULL,Femme anglaise,NULL,NULL,NULL,178,183,4,,,,témoigange,anglais et français,,0,0,primary-links,0,menu,0,0,0,0,8,,,57,,,,,,,,,,,,,,,,
1003,corpus,fr,4,1,1271082544,1389890736,0,0,0,0,0,0,1003,0,Et godt sted,"<p>Témoignage, extrait du documentaire radio <em>Et Godt sted</em> de Gyrid Listuen, NRK, 2007</p>","<p>Témoignage, extrait du documentaire radio <em>Et Godt sted</em> de Gyrid Listuen, NRK, 2007</p>",Importerad by corpus importation module by admin | 2010-04-12 16:29:03 +0200.,1389890736,1,admin,,"a:1:{s:13:""form_build_id"";s:37:""form-c45e747db3180913718cdac76d270224"";}",corpus/timbres/track-et-godt-sted,875,4,Et_godt_sted_0.mp3,sites/default/files/corpus/Et_godt_sted_0.mp3,audio/mpeg,1026265,1,1271082544,1,NULL,Gyrid Listuen,NULL,NULL,NULL,140,184,4,,,,témoignage,hollandais,,0,0,primary-links,0,menu,0,0,0,0,8,,,57,,,,,,,,,,,,,,,,
1004,corpus,fr,4,1,1271082544,1389890736,0,0,0,0,0,0,1004,0,F to M,"<p>Témoignage, extrait d'une vidéo postée sur Youtube, 2008</p>","<p>Témoignage, extrait d'une vidéo postée sur Youtube, 2008</p>",Importerad by corpus importation module by admin | 2010-04-12 16:29:04 +0200.,1389890736,1,admin,,"a:1:{s:13:""form_build_id"";s:37:""form-c45e747db3180913718cdac76d270224"";}",corpus/melodies/track-f-m,876,4,F_to_M.mp3,sites/default/files/corpus/F_to_M.mp3,audio/mpeg,425294,1,1271082544,1,NULL,BillyJoel1985,NULL,NULL,NULL,95,142,3,,114,,Message,allemand,,0,0,primary-links,0,menu,0,0,0,0,8,,,57,,,,,,,,,,,,,,,,
1005,corpus,fr,4,1,1271082546,1389890736,0,0,0,0,0,0,1005,0,Fraisi Poney,"<p>Fanny Charmont, spot publicitaire radio, années 2000</p>","<p>Fanny Charmont, spot publicitaire radio, années 2000</p>",Importerad by corpus importation module by admin | 2010-04-12 16:29:05 +0200.,1389890736,1,admin,,"a:1:{s:13:""form_build_id"";s:37:""form-c45e747db3180913718cdac76d270224"";}",corpus/timbres/track-fraisi-poney,877,4,Fraisi_Poney.mp3,sites/default/files/corpus/Fraisi_Poney.mp3,audio/mpeg,180633,1,1271082546,1,NULL,Fanny Charmont,NULL,NULL,Grégory Castéra,102,130,3,,,,Publicité,français,,0,0,primary-links,0,menu,0,0,0,0,8,,,57,,,,,,,,,,,,,,,,
1006,corpus,fr,4,1,1271082547,1389890736,0,0,0,0,0,0,1006,0,Free Spirit,"<p>extrait de&nbsp; l'émission <em>Lynch+Sound</em> de Jeanne Robet, Arte Radio, 2007</p>","<p>extrait de&nbsp; l'émission <em>Lynch+Sound</em> de Jeanne Robet, Arte Radio, 2007</p>",Importerad by corpus importation module by admin | 2010-04-12 16:29:07 +0200.,1389890736,1,admin,,"a:1:{s:13:""form_build_id"";s:37:""form-c45e747db3180913718cdac76d270224"";}",corpus/timbres/track-free-spirit,878,4,Free_Spirit_0.mp3,sites/default/files/corpus/Free_Spirit_0.mp3,audio/mpeg,967763,1,1271082547,1,NULL,Ingénieur du son,NULL,NULL,NULL,96,133,4,,,,Radio,anglais,,0,0,primary-links,0,menu,0,0,0,0,8,,,57,,,,,,,,,,,,,,,,
1007,corpus,fr,4,1,1271082548,1389890736,0,0,0,0,0,0,1007,0,Getting fit 'n having fun,"<p>Marie-Lou Retton, extrait de <em>Fantastic Family Fitness Fun Session</em>, 2007</p>","<p>Marie-Lou Retton, extrait de <em>Fantastic Family Fitness Fun Session</em>, 2007</p>",Importerad by corpus importation module by admin | 2010-04-12 16:29:07 +0200.,1389890736,1,admin,,"a:1:{s:13:""form_build_id"";s:37:""form-c45e747db3180913718cdac76d270224"";}",corpus/timbres/track-getting-fit-n-having-fun,879,4,Getting_fit_n_having_fun.mp3,sites/default/files/corpus/Getting_fit_n_having_fun.mp3,audio/mpeg,1385178,1,1271082549,1,NULL,Mary Lou Retton,NULL,NULL,Grégory Castéra,77,133,3,,,,tutoriel,anglais,,0,0,primary-links,0,menu,0,0,0,0,8,,,57,,,,,,,,,,,,,,,,
